,Airport,Total_Activity
0,ATL,182952
1,DFW,136963
2,ORD,128491
3,LAX,108167
4,DEN,106278
5,IAH,86699
6,PHX,80299
7,SFO,78949
8,LAS,66214
9,CLT,56818
10,MCO,56608
11,EWR,55308
12,SLC,51722
13,LGA,50927
14,BOS,50708
15,MSP,48049
16,JFK,47146
17,DTW,46842
18,SEA,46152
19,MIA,43622
20,BWI,43114
21,MDW,40110
22,PHL,36125
23,SAN,36006
24,FLL,36005
25,DCA,34227
26,TPA,34159
27,HOU,29478
28,IAD,28261
29,BNA,27460
30,PDX,25774
31,STL,24279
32,DAL,22537
33,HNL,22063
34,MCI,21630
35,MSY,20560
36,OAK,20054
37,AUS,20052
38,SMF,19771
39,CLE,19724
40,SJC,19490
41,RDU,19016
42,RSW,18837
43,SNA,18824
44,SAT,16432
45,MKE,16134
46,PBI,14157
47,PIT,13890
48,IND,13854
49,SJU,13603
50,CMH,13089
51,ABQ,11476
52,JAX,11012
53,BDL,10687
54,OGG,10398
55,BUR,10157
56,OKC,9873
57,ONT,9792
58,OMA,9740
59,CVG,9522
60,TUL,9364
61,BUF,8731
62,TUS,8644
63,ELP,8493
64,RIC,7600
65,MEM,7460
66,RNO,7415
67,PSP,7323
68,ANC,7265
69,SDF,6831
70,LIT,6705
71,BHM,6584
72,PVD,5790
73,ORF,5720
74,CHS,5683
75,LGB,5516
76,FAT,5395
77,KOA,5313
78,GRR,5173
79,XNA,5169
80,LIH,5152
81,BOI,5050
82,DSM,4993
83,MAF,4829
84,SBA,4758
85,MSN,4719
86,ASE,4582
87,DAY,4522
88,COS,4462
89,ROC,4361
90,ICT,4345
91,JAN,4246
92,BTR,4239
93,GEG,4087
94,PNS,3960
95,ALB,3918
96,TYS,3906
97,SAV,3814
98,GSO,3806
99,AMA,3723
100,GSP,3576
101,HPN,3553
102,CAE,3420
103,SHV,3346
104,FSD,3331
105,CAK,3291
106,SGF,3281
107,HSV,3232
108,CRP,3103
109,MHT,3074
110,LFT,3074
111,LBB,3064
112,SYR,3009
113,ITO,2986
114,MOB,2827
115,ISP,2739
116,CID,2651
117,STT,2546
118,EUG,2542
119,EYW,2498
120,GRK,2450
121,MRY,2441
122,FAR,2439
123,VPS,2371
124,LEX,2351
125,TLH,2350
126,SRQ,2336
127,SBP,2244
128,GRB,2219
129,HRL,2184
130,PWM,2153
131,MDT,2108
132,GPT,2102
133,MFE,2101
134,JAC,2039
135,MLI,2025
136,SBN,1982
137,FNT,1963
138,ECP,1841
139,CHA,1810
140,MGM,1783
141,JNU,1769
142,BZN,1763
143,AEX,1755
144,FWA,1754
145,EGE,1752
146,PIA,1735
147,BFL,1720
148,GJT,1694
149,FAI,1623
150,RDM,1587
151,MFR,1580
152,MLU,1579
153,BTV,1576
154,GNV,1556
155,ACV,1535
156,BIL,1532
157,CRW,1514
158,YUM,1510
159,AGS,1449
160,ABI,1413
161,AVL,1405
162,MSO,1387
163,BMI,1376
164,RAP,1359
165,EVV,1357
166,CLL,1347
167,ISN,1346
168,TYR,1322
169,IDA,1309
170,PSC,1246
171,BRO,1222
172,CLD,1204
173,FSM,1200
174,LRD,1165
175,ATW,1151
176,FAY,1140
177,MTJ,1116
178,CMI,1106
179,LNK,1096
180,DRO,1088
181,KTN,1080
182,TRI,1071
183,CPR,1064
184,HDN,1044
185,TTN,1032
186,LCH,1031
187,PHF,1018
188,ILM,1016
189,ROA,940
190,BIS,905
191,RKS,900
192,ABE,899
193,SPI,876
194,ACT,874
195,SJT,874
196,SGU,872
197,SAF,851
198,GTF,850
199,MHK,850
200,FLG,846
201,ELM,828
202,FCA,816
203,DAB,795
204,MOT,784
205,OAJ,780
206,MYR,765
207,HLN,729
208,LAW,722
209,GCC,720
210,SPS,719
211,MLB,696
212,TVC,695
213,CWA,691
214,DLH,686
215,DIK,682
216,MBS,680
217,BQN,680
218,DHN,678
219,TWF,668
220,CSG,662
221,SUN,638
222,LAN,624
223,SMX,614
224,CHO,608
225,BKG,556
226,MOD,540
227,RDD,540
228,SIT,539
229,CIC,538
230,AVP,525
231,RHI,516
232,TXK,514
233,BPT,514
234,COU,514
235,ROW,514
236,VLD,506
237,ABY,504
238,STX,502
239,GTR,500
240,BQK,498
241,GUC,490
242,EKO,488
243,CEC,487
244,BET,484
245,PIH,483
246,BLI,482
247,TOL,475
248,SCC,458
249,BRW,458
250,BRD,440
251,BGR,398
252,MMH,388
253,PSE,385
254,RST,385
255,CMX,364
256,JLN,360
257,PSG,360
258,BTM,360
259,COD,360
260,WRG,360
261,GCK,360
262,BJI,360
263,LAR,360
264,ORH,360
265,LMT,360
266,SWF,360
267,MKG,360
268,EAU,360
269,GGG,360
270,PAH,360
271,ABR,359
272,CDV,356
273,YAK,356
274,OME,354
275,OTZ,354
276,EWN,341
277,IMT,336
278,SCE,335
279,GRI,334
280,ART,334
281,ALO,334
282,SUX,334
283,FOE,329
284,ILG,328
285,LWS,318
286,AZO,316
287,APN,312
288,HIB,312
289,INL,308
290,CDC,308
291,LSE,308
292,DBQ,307
293,HOB,306
294,ADQ,264
295,OTH,180
296,GUM,180
297,MQT,154
298,CNY,104
299,VEL,101
300,PPG,54
301,ADK,52
302,GFK,7
