,CARRIER,NAS_DELAY_count,CARRIER_DELAY_count,SECURITY_DELAY_count,WEATHER_DELAY_count,LATE_AIRCRAFT_DELAY_count
0,AA,242637,216384,1935.0,31374,197109
1,NK,56301,28170,516.0,1556,19865
2,HA,996,18087,96.0,1237,11281
3,AS,44644,22606,674.0,2354,21981
4,B6,103374,118383,1391.0,6517,96925
5,UA,158961,181627,68.0,20739,141488
6,US,70778,61521,1105.0,5283,39263
7,OO,182920,117582,868.0,12497,194854
8,VX,18056,14254,295.0,6338,16547
9,WN,330362,481159,2086.0,29506,553569
10,DL,197578,192367,209.0,31799,150647
11,EV,201574,175860,101.0,9408,188010
12,F9,49382,32175,,1706,33112
13,FL,7344,4803,,429,5701
14,MQ,105565,68022,605.0,21280,87875
